Gene	trt1	trt2	trt3	ctl1	ctl2	ctl3
Zm00001eb059220	567	664	534	755	603	607
Zm00001eb059230	2594	2792	2338	11780	7633	7371
Zm00001eb059240	14	18	5	26	19	55
Zm00001eb059250	0	0	0	0	0	0
Zm00001eb059260	0	0	0	0	0	0
Zm00001eb059270	5	15	49	41	8	11
Zm00001eb059300	0	0	2	3	0	0
Zm00001eb059310	1646	1967	2036	2058	1877	1812
Zm00001eb059320	0	0	1	2	0	0
Zm00001eb059330	0	0	0	0	0	0
Zm00001eb059340	0	0	0	0	0	0
Zm00001eb059350	564	479	288	569	513	218
Zm00001eb059360	152	66	70	258	183	62
Zm00001eb059370	152	127	108	137	107	37
Zm00001eb059400	0	0	0	0	0	0
Zm00001eb059410	0	0	0	0	0	0
Zm00001eb059420	0	0	0	0	0	0
Zm00001eb059440	0	0	0	0	0	0
Zm00001eb059450	0	0	0	0	0	0
Zm00001eb059460	25	8	40	87	53	69
Zm00001eb059480	0	0	0	0	0	0
Zm00001eb059490	0	0	0	0	0	0
Zm00001eb059500	8	7	4	0	0	0
Zm00001eb059510	17	13	23	10	2	27
Zm00001eb059520	0	0	0	0	0	0
Zm00001eb059530	0	0	0	0	0	0
Zm00001eb059540	0	0	0	0	0	0
Zm00001eb059550	9	0	5	2	2	5
Zm00001eb059560	470	382	386	747	530	346
Zm00001eb059570	0	0	0	0	0	0
Zm00001eb059580	0	0	0	0	0	0
Zm00001eb059590	6	0	12	0	6	0
Zm00001eb059600	0	0	0	0	0	0
Zm00001eb059610	341	253	211	256	267	164
Zm00001eb059620	128	112	104	96	46	46
Zm00001eb059630	5	7	0	10	9	10
Zm00001eb059640	0	0	0	0	0	0
Zm00001eb059650	647	723	554	1057	815	654
Zm00001eb059660	2	4	0	60	15	4
Zm00001eb059670	9	8	0	10	11	3
Zm00001eb059680	62	31	13	91	127	97
Zm00001eb059700	7	7	8	25	10	8
Zm00001eb059710	0	0	0	0	0	0
Zm00001eb059720	0	0	0	0	0	0
Zm00001eb059730	0	0	0	0	0	0
Zm00001eb059740	0	0	0	0	0	6
Zm00001eb059760	31	24	36	28	14	34
Zm00001eb059770	571	951	786	935	729	625
Zm00001eb059780	873	843	630	1244	802	748
Zm00001eb059790	129	162	130	134	171	111
Zm00001eb059800	7	0	3	1	2	0
Zm00001eb059810	172	189	128	281	111	273
Zm00001eb059820	0	0	0	0	0	0
Zm00001eb059830	1366	1636	1422	1669	1318	1042
Zm00001eb059840	410	435	277	856	533	392
Zm00001eb059850	818	1021	701	763	557	428
Zm00001eb059860	429	594	553	796	717	542
Zm00001eb059870	0	0	0	0	0	0
Zm00001eb059880	12	8	0	16	13	1
Zm00001eb059890	23	22	33	19	6	2
Zm00001eb059900	711	748	722	874	633	727
Zm00001eb059910	549	698	508	1046	675	535
Zm00001eb059920	0	0	7	1	0	0
Zm00001eb059930	19989	22440	25252	15864	14938	17334
Zm00001eb059950	0	0	0	0	0	0
Zm00001eb059960	1386	1506	1470	1619	1328	1453
Zm00001eb059970	97	127	56	54	60	37
Zm00001eb059980	102	102	67	94	85	93
Zm00001eb059990	1598	1724	1689	1933	1582	1373
Zm00001eb060000	0	0	0	0	0	0
Zm00001eb060010	1743	1777	1893	2435	1814	1870
Zm00001eb060020	746	1010	955	758	843	957
Zm00001eb060040	14	48	21	77	30	21
Zm00001eb060050	5234	6109	5902	3702	3211	3851
Zm00001eb060060	65	75	30	72	48	62
Zm00001eb060070	60	63	51	86	43	80
Zm00001eb060080	0	0	0	0	0	0
Zm00001eb060090	976	1329	1275	1359	1349	1316
Zm00001eb060100	5	4	4	2	1	0
Zm00001eb060110	382	457	439	566	577	906
Zm00001eb060130	269	335	300	267	227	309
Zm00001eb060140	0	0	1	0	0	0
Zm00001eb060160	189	153	140	0	0	11
Zm00001eb060170	5	4	55	126	65	42
Zm00001eb060180	0	0	0	0	0	0
Zm00001eb060190	124	55	42	492	380	388
Zm00001eb060200	18	13	22	21	8	13
Zm00001eb060210	0	0	0	0	0	0
Zm00001eb060220	256	184	159	354	214	176
Zm00001eb060230	0	0	0	0	0	0
Zm00001eb060240	3	0	0	0	0	0
Zm00001eb060250	15927	16871	19525	17048	14469	15508
Zm00001eb060260	4833	4640	4445	4487	3984	3313
Zm00001eb060270	0	0	0	0	0	0
Zm00001eb060280	0	0	0	0	0	0
Zm00001eb060290	0	0	0	0	0	0
Zm00001eb060300	0	0	0	0	0	0
Zm00001eb060310	0	0	0	0	0	0
Zm00001eb060320	0	0	0	0	0	0
Zm00001eb060330	226	325	208	243	141	183
Zm00001eb060340	561	706	596	837	491	564
Zm00001eb060350	887	850	692	1180	733	515
Zm00001eb060360	0	0	0	0	0	0
Zm00001eb060370	0	0	0	0	0	0
Zm00001eb060380	1630	1989	1489	2268	1631	1450
Zm00001eb060390	47	60	53	60	76	52
Zm00001eb060410	1425	1630	1451	1435	1075	1009
Zm00001eb060420	157	205	196	211	211	245
Zm00001eb060430	214	197	176	164	146	81
Zm00001eb060440	0	0	0	0	0	0
Zm00001eb060450	0	0	0	0	0	0
Zm00001eb060460	0	0	0	0	0	0
Zm00001eb060470	2778	3263	2597	31	53	42
Zm00001eb060480	9	13	5	2	0	4
Zm00001eb060490	0	0	4	0	0	0
Zm00001eb060500	84	128	139	79	82	73
Zm00001eb060510	60	55	78	58	94	87
Zm00001eb060520	970	1253	1142	1079	841	694
Zm00001eb060530	0	0	0	0	0	0
Zm00001eb060540	0	0	0	0	0	0
Zm00001eb060550	727	866	799	611	609	803
Zm00001eb060560	335	414	494	458	311	423
Zm00001eb060570	1	0	2	0	1	0
Zm00001eb060580	2027	1672	1157	1834	1197	884
Zm00001eb060590	38	29	16	16	7	17
Zm00001eb060610	221	193	175	490	461	336
Zm00001eb060620	0	0	0	0	0	0
Zm00001eb060630	104	131	143	198	120	159
Zm00001eb060640	1455	1614	1321	1786	1305	1280
Zm00001eb060650	0	0	0	0	0	3
Zm00001eb060660	2353	2790	2772	3821	3565	3630
Zm00001eb060670	2079	2206	2354	2202	1923	1849
Zm00001eb060680	1335	1557	1327	2240	1670	1461
Zm00001eb060690	23	36	32	31	53	39
Zm00001eb060700	3	2	20	5	33	21
Zm00001eb060710	0	0	0	0	0	0
Zm00001eb060720	88	57	64	99	57	49
Zm00001eb060730	120	140	158	93	60	115
Zm00001eb060740	0	0	0	0	0	0
Zm00001eb060750	0	0	0	0	0	0
Zm00001eb060760	223	366	277	356	337	219
Zm00001eb060770	0	0	0	0	0	0
Zm00001eb060780	259	305	271	484	389	388
Zm00001eb060800	451	616	461	496	419	436
Zm00001eb060810	785	826	900	1539	1440	1146
Zm00001eb060820	0	0	0	0	0	0
Zm00001eb060830	255	247	320	501	368	386
Zm00001eb060840	22	21	18	28	25	33
Zm00001eb060850	0	0	0	0	0	0
Zm00001eb060860	0	1	0	0	0	0
Zm00001eb060870	0	0	0	0	0	0
Zm00001eb060880	399	492	222	635	426	535
Zm00001eb060890	56	28	16	85	80	54
Zm00001eb060900	0	0	0	0	0	0
Zm00001eb060910	0	2	0	3	0	0
Zm00001eb060920	0	0	0	0	0	0
Zm00001eb060930	64	94	66	116	121	109
Zm00001eb060940	0	0	0	0	0	0
Zm00001eb060950	0	0	4	0	0	0
Zm00001eb060960	0	0	0	0	0	0
Zm00001eb060980	0	0	5	8	0	3
Zm00001eb060990	237	223	165	275	219	190
Zm00001eb061000	0	6	0	4	0	0
Zm00001eb061010	0	0	0	0	0	0
Zm00001eb061020	15	21	2	16	13	29
Zm00001eb061030	0	0	0	0	12	0
Zm00001eb061050	0	0	0	0	0	0
Zm00001eb061060	2891	2704	1944	6207	4527	2340
Zm00001eb061070	306	277	195	508	342	220
Zm00001eb061080	0	15	17	16	11	11
Zm00001eb061090	0	8	2	12	2	0
Zm00001eb061100	0	0	0	0	0	0
Zm00001eb061110	0	0	0	1	0	0
Zm00001eb061120	181	191	169	111	136	133
Zm00001eb061130	1047	963	1084	1183	807	729
Zm00001eb061140	12	3	13	20	12	36
Zm00001eb061150	136	161	133	400	328	249
Zm00001eb061160	58	99	58	121	135	99
Zm00001eb061170	1399	1304	1341	2013	1557	1466
Zm00001eb061180	1647	1894	1613	1357	1186	1027
Zm00001eb061190	3034	3307	2809	3311	2291	2472
Zm00001eb061200	198	219	225	341	241	245
Zm00001eb061210	329	240	385	433	418	293
Zm00001eb061240	67	51	87	57	104	63
Zm00001eb061250	2461	2599	2242	3118	2896	3168
Zm00001eb061260	581	673	797	793	697	640
Zm00001eb061270	0	0	4	0	11	0
Zm00001eb061280	6831	8814	11413	9958	10712	13122
Zm00001eb061290	205	228	198	224	248	180
Zm00001eb061300	146	253	134	280	196	140
Zm00001eb061310	1982	2113	2109	2923	2267	2309
Zm00001eb061320	0	0	0	0	0	0
Zm00001eb061330	0	0	0	0	0	0
Zm00001eb061350	188	144	155	275	228	379
Zm00001eb061360	671	865	695	1167	773	696
Zm00001eb061370	2931	3103	3223	5298	4374	3758
Zm00001eb061380	13	59	12	27	42	23
Zm00001eb061390	10	59	10	59	26	50
Zm00001eb061400	508	637	365	130	78	81
Zm00001eb061410	1291	1548	1289	987	836	836
Zm00001eb061430	363	584	367	367	305	284
Zm00001eb061440	447	423	405	486	341	304
Zm00001eb061450	833	1035	1086	1041	802	908
Zm00001eb061460	388	405	356	373	361	264
Zm00001eb061470	2587	2638	2331	2276	1534	997
Zm00001eb061480	1172	1433	1358	1389	1011	1088
Zm00001eb061490	517	416	382	558	466	214
Zm00001eb061500	606	734	615	531	429	627
Zm00001eb061510	119	79	71	177	147	118
Zm00001eb061520	225	230	225	232	120	120
Zm00001eb061530	309	398	505	634	562	687
Zm00001eb061540	10	0	4	7	0	13
Zm00001eb061550	178	158	200	171	80	137
Zm00001eb061560	1269	1484	1294	1667	1183	1223
Zm00001eb061570	2071	2401	2115	2263	1832	1974
Zm00001eb061590	0	0	0	0	0	10
Zm00001eb061610	1402	1521	1343	1933	1304	1273
Zm00001eb061630	59	42	66	110	37	104
Zm00001eb061640	349	399	393	339	249	262
Zm00001eb061650	0	0	0	0	0	0
Zm00001eb061660	0	0	0	0	0	0
Zm00001eb061670	0	0	0	8	4	3
Zm00001eb061680	0	0	0	0	0	0
Zm00001eb061690	0	0	0	0	0	0
Zm00001eb061700	0	0	0	0	0	0
Zm00001eb061710	0	0	0	0	0	0
Zm00001eb061720	0	0	0	0	0	0
Zm00001eb061730	101	124	123	471	316	192
Zm00001eb061740	0	0	0	0	0	0
Zm00001eb061750	0	0	0	5	17	18
Zm00001eb061760	227	381	154	259	183	307
Zm00001eb061770	5	0	1	0	0	0
Zm00001eb061780	0	0	0	0	0	0
Zm00001eb061800	1112	1108	969	1474	925	777
Zm00001eb061810	1040	1279	1013	1041	923	984
Zm00001eb061820	490	480	187	936	753	423
Zm00001eb061830	0	0	0	0	0	0
Zm00001eb061840	0	0	0	0	0	0
Zm00001eb061850	28	77	51	42	53	35
Zm00001eb061860	1455	1580	1366	1404	1214	1646
Zm00001eb061870	0	3	0	0	0	0
Zm00001eb061880	148	117	125	152	162	177
Zm00001eb061890	248	402	236	365	246	306
Zm00001eb061900	3	0	0	1	0	0
Zm00001eb061910	398	576	366	559	280	301
Zm00001eb061920	307	336	430	198	223	324
Zm00001eb061930	11	12	8	3	1	9
Zm00001eb061940	64	248	187	219	194	153
Zm00001eb061950	0	0	0	0	5	0
Zm00001eb061960	1020	1246	1054	1350	1124	1157
Zm00001eb061990	32	27	13	25	8	15
Zm00001eb062000	0	15	0	2	0	0
Zm00001eb062010	1304	1507	1519	1549	1142	1208
Zm00001eb062020	348	346	318	389	422	345
Zm00001eb062030	0	0	0	0	0	0
Zm00001eb062040	99	129	124	113	76	119
Zm00001eb062050	7	0	0	0	8	0
Zm00001eb062060	0	0	0	0	0	0
Zm00001eb062070	2047	2267	1930	2204	1605	1631
Zm00001eb062080	1673	1701	1826	1631	1409	1311
Zm00001eb062090	0	0	0	0	0	0
Zm00001eb062100	0	0	0	0	0	0
Zm00001eb062110	9	5	0	8	14	21
Zm00001eb062120	0	0	0	0	0	0
Zm00001eb062130	85	60	43	31	21	29
Zm00001eb062140	610	409	550	679	592	603
Zm00001eb062150	178	269	160	241	222	144
Zm00001eb062160	193	201	201	299	232	222
Zm00001eb062170	340	379	421	687	808	668
Zm00001eb062180	5704	5909	4149	4734	3421	2601
Zm00001eb062190	0	0	0	0	0	0
Zm00001eb062200	0	0	0	1	0	0
Zm00001eb062210	17	21	33	29	1	31
Zm00001eb062220	550	532	531	311	322	297
Zm00001eb062230	1228	1256	1298	1366	1119	1103
Zm00001eb062250	614	897	745	868	649	729
Zm00001eb062270	310	361	258	351	304	215
Zm00001eb062280	0	0	0	0	0	0
Zm00001eb062290	0	0	0	0	0	0
Zm00001eb062300	344	394	420	599	624	721
Zm00001eb062310	562	706	803	933	627	686
Zm00001eb062320	0	0	0	0	0	0
Zm00001eb062330	1555	1674	1773	2372	1437	1466
Zm00001eb062340	314	339	234	244	205	303
Zm00001eb062350	607	817	624	936	889	842
Zm00001eb062360	1128	1155	1203	1166	938	743
Zm00001eb062390	0	1	4	13	2	0
Zm00001eb062400	0	0	0	0	0	1
Zm00001eb062410	0	0	0	0	0	0
Zm00001eb062420	2772	3048	2883	3361	2240	2235
Zm00001eb062440	358	520	441	477	402	383
Zm00001eb062450	334	416	385	333	334	299
Zm00001eb062460	411	287	195	327	217	161
Zm00001eb062480	1307	1476	1372	1653	1416	1134
Zm00001eb062490	420	295	345	354	359	241
Zm00001eb062500	6	15	13	26	30	10
Zm00001eb062510	2362	2781	1792	1307	1068	705
Zm00001eb062520	377	304	410	487	368	442
Zm00001eb062530	712	815	608	1019	640	623
Zm00001eb062540	20	15	8	10	19	37
Zm00001eb062550	981	1259	1218	1433	1096	1212
Zm00001eb062560	535	683	1046	710	794	1232
Zm00001eb062570	140	140	150	159	131	177
Zm00001eb062580	29	114	56	105	115	110
Zm00001eb062590	0	0	0	4	0	0
Zm00001eb062600	5508	5743	4707	5892	4298	3887
Zm00001eb062610	0	0	0	0	3	0
Zm00001eb062620	287	239	289	379	249	240
Zm00001eb062630	601	711	557	984	910	658
Zm00001eb062640	0	0	0	0	0	0
Zm00001eb062650	0	0	0	0	0	0
Zm00001eb062660	0	0	0	0	0	0
Zm00001eb062670	0	0	0	0	0	0
Zm00001eb062680	861	965	809	1268	812	688
Zm00001eb062690	0	0	0	0	0	0
Zm00001eb062700	0	0	0	0	0	0
Zm00001eb062710	0	0	0	0	0	0
Zm00001eb062720	806	677	637	592	460	413
Zm00001eb062730	295	342	378	879	599	536
Zm00001eb062750	6	6	12	15	2	4
Zm00001eb062760	425	506	436	513	510	411
Zm00001eb062770	355	271	254	463	318	282
Zm00001eb062790	39	76	40	38	37	23
Zm00001eb062800	2757	3171	4295	2750	2628	3701
Zm00001eb062810	135	94	99	126	108	56
Zm00001eb062820	289	289	358	415	253	265
Zm00001eb062830	2	27	4	17	11	2
Zm00001eb062840	158	189	155	140	112	134
Zm00001eb062850	22	57	36	168	148	122
Zm00001eb062860	25	13	7	55	15	48
Zm00001eb062870	0	0	0	0	0	0
Zm00001eb062880	714	985	776	6743	4928	3729
Zm00001eb062900	2	0	4	20	16	28
Zm00001eb062910	368	395	353	413	334	253
Zm00001eb062920	11	8	4	50	21	26
Zm00001eb062930	84	129	106	150	103	114
Zm00001eb062940	490	477	507	463	484	481
Zm00001eb062950	0	0	0	0	0	0
Zm00001eb062960	0	0	0	0	0	0
Zm00001eb062970	0	0	0	0	0	0
Zm00001eb062980	0	0	0	0	0	0
Zm00001eb062990	0	0	0	0	0	0
Zm00001eb063000	0	0	0	0	0	0
Zm00001eb063010	0	0	0	0	0	0
Zm00001eb063020	0	0	0	0	0	0
Zm00001eb063030	0	0	0	0	0	0
Zm00001eb063040	11	13	23	0	4	0
Zm00001eb063050	0	1	0	0	0	0
Zm00001eb063060	0	0	0	0	0	0
Zm00001eb063070	3	0	0	16	20	0
Zm00001eb063080	0	0	0	0	0	0
Zm00001eb063090	165	229	210	261	198	159
Zm00001eb063100	10	26	30	35	5	25
Zm00001eb063110	17	16	34	24	28	38
Zm00001eb063120	0	0	0	0	0	0
Zm00001eb063130	1923	2024	2114	2546	1717	1511
Zm00001eb063140	0	0	0	0	0	0
Zm00001eb063150	8	5	7	2	10	3
Zm00001eb063160	46	114	63	75	73	61
Zm00001eb063170	24	20	26	30	22	40
Zm00001eb063180	0	0	0	0	0	0
Zm00001eb063190	275	237	390	379	245	363
Zm00001eb063200	20	23	12	37	1	4
Zm00001eb063210	394	349	470	624	516	384
Zm00001eb063220	19	19	12	300	200	128
Zm00001eb063230	3279	4245	3085	4454	3306	2536
Zm00001eb063250	135	211	138	148	125	114
Zm00001eb063260	11	0	6	0	0	0
Zm00001eb063270	336	324	295	352	165	241
Zm00001eb063280	259	272	251	512	508	394
Zm00001eb063290	639	822	730	593	592	554
Zm00001eb063300	567	666	552	562	350	374
Zm00001eb063310	109	178	123	212	146	129
Zm00001eb063320	0	0	6	0	0	0
Zm00001eb063340	120	123	78	264	189	103
Zm00001eb063350	0	1	0	0	0	0
Zm00001eb063360	1169	1299	853	1199	890	1021
Zm00001eb063370	67	86	41	96	44	58
Zm00001eb063380	0	2	0	1	5	0
Zm00001eb063390	1862	1763	1993	2418	1609	1602
Zm00001eb063400	0	0	0	0	0	0
Zm00001eb063410	0	0	0	0	0	0
Zm00001eb063420	99	117	71	123	64	84
Zm00001eb063430	5552	5778	5579	5289	4516	4071
Zm00001eb063450	55	43	23	72	56	21
Zm00001eb063460	152	220	143	175	114	166
Zm00001eb063470	188	122	168	311	145	243
Zm00001eb063480	0	0	0	0	0	0
Zm00001eb063490	494	578	445	508	406	467
Zm00001eb063500	1005	1267	875	1335	934	865
Zm00001eb063510	985	933	869	1447	940	853
Zm00001eb063520	0	0	0	0	0	0
Zm00001eb063530	111	438	293	245	195	435
Zm00001eb063540	0	0	0	0	0	0
Zm00001eb063550	0	0	0	0	0	0
Zm00001eb063560	0	0	0	0	0	0
Zm00001eb063570	0	0	0	0	0	0
Zm00001eb063580	0	0	0	0	0	0
Zm00001eb063600	578	755	739	606	431	468
Zm00001eb063610	216	192	106	161	118	110
Zm00001eb063620	305	268	196	369	292	388
Zm00001eb063630	0	0	0	0	2	0
Zm00001eb063640	6	13	22	3	15	26
Zm00001eb063650	72	74	98	69	74	83
Zm00001eb063660	37	99	56	82	96	30
Zm00001eb063670	176	158	150	79	30	47
Zm00001eb063680	1309	1437	1165	2648	1649	1417
Zm00001eb063690	982	1178	1128	979	930	901
Zm00001eb063700	648	705	678	751	504	626
Zm00001eb063710	10904	12588	10290	11975	9402	7696
Zm00001eb063720	2224	2588	1996	2910	2502	2212
Zm00001eb063730	33	18	30	26	9	4
Zm00001eb063750	403	409	384	830	542	538
Zm00001eb063760	8	1	0	2	1	0
Zm00001eb063770	507	819	742	820	562	607
Zm00001eb063780	20	50	68	27	50	73
Zm00001eb063800	2989	3533	2720	4058	2759	2071
Zm00001eb063810	769	900	605	1164	813	637
Zm00001eb063820	0	12	5	7	0	12
Zm00001eb063830	9	28	21	5	14	0
Zm00001eb063840	17	26	24	47	21	21
Zm00001eb063850	0	0	0	0	0	0
Zm00001eb063860	32	21	21	51	53	11
Zm00001eb063870	939	986	1079	1477	858	752
Zm00001eb063880	0	0	0	0	0	7
Zm00001eb063890	38	47	55	78	43	23
Zm00001eb063900	1805	2230	1757	2446	2154	1985
Zm00001eb063910	545	837	540	911	712	644
Zm00001eb063920	0	0	0	0	0	0
Zm00001eb063930	0	0	6	4	0	0
Zm00001eb063940	49	56	33	71	75	43
Zm00001eb063950	0	0	0	0	0	0
Zm00001eb063960	3	4	8	6	1	0
Zm00001eb063970	97	58	119	69	72	85
Zm00001eb063980	1276	1852	1759	1699	1506	1514
Zm00001eb063990	802	1036	834	912	653	754
Zm00001eb064000	2619	2811	2218	3236	2498	2153
Zm00001eb064010	374	451	481	372	318	350
Zm00001eb064020	568	729	436	561	562	402
Zm00001eb064030	280	181	205	198	224	269
Zm00001eb064040	690	663	687	652	504	574
Zm00001eb064060	0	5	9	3	4	0
Zm00001eb064080	1	12	3	0	2	0
Zm00001eb064090	128	133	94	111	126	68
Zm00001eb064100	841	1074	1244	1235	978	1238
Zm00001eb064110	40	21	29	24	18	0
Zm00001eb064120	2178	2821	2193	2802	2302	1846
Zm00001eb064130	62	59	51	84	77	40
Zm00001eb064140	398	455	447	256	208	243
Zm00001eb064160	41	66	43	81	15	36
Zm00001eb064170	209	294	201	225	172	155
Zm00001eb064180	306	380	385	304	324	286
Zm00001eb064190	1262	1305	1015	1491	1203	1072
Zm00001eb064200	0	0	0	0	0	0
Zm00001eb064210	781	662	640	1104	803	845
Zm00001eb064230	5	7	0	0	0	0
Zm00001eb064240	0	0	0	0	0	0
Zm00001eb064260	0	12	0	0	5	0
Zm00001eb064270	116	72	74	160	83	104
Zm00001eb064300	952	1522	1127	1422	1193	966
Zm00001eb064310	1578	1617	1729	1828	1291	1537
Zm00001eb064320	0	0	0	0	0	0
Zm00001eb064330	0	0	0	9	0	0
Zm00001eb064340	119	115	89	119	64	45
Zm00001eb064350	4428	5137	4617	1255	1919	2011
Zm00001eb064360	6	6	0	6	0	0
Zm00001eb064370	7	0	0	2	0	0
Zm00001eb064380	355	422	278	587	325	327
Zm00001eb064390	1642	1872	1599	2097	1741	1412
Zm00001eb064400	2272	2329	1859	3140	2203	2304
Zm00001eb064410	1010	1118	1193	1200	1046	1161
Zm00001eb064420	5	12	8	2	0	0
Zm00001eb064430	0	0	0	0	0	0
Zm00001eb064440	34	10	17	49	31	42
Zm00001eb064450	1456	1438	1066	3333	2336	2300
Zm00001eb064460	0	5	5	0	0	0
Zm00001eb064470	154	290	238	206	191	238
Zm00001eb064480	91	89	71	109	94	86
Zm00001eb064490	0	0	0	0	0	0
Zm00001eb064500	0	0	0	0	0	0
Zm00001eb064510	11	0	0	3	0	0
Zm00001eb064520	306	438	325	301	240	309
Zm00001eb064530	825	1091	1340	1489	1224	1823
Zm00001eb064540	862	934	647	1096	823	653
Zm00001eb064550	103	243	136	279	239	156
Zm00001eb064560	8	0	0	7	3	0
Zm00001eb064570	653	786	904	699	530	574
Zm00001eb064580	413	436	471	493	291	247
Zm00001eb064590	830	763	739	795	795	715
Zm00001eb064600	693	740	772	754	446	625
Zm00001eb064610	31	66	87	42	43	44
Zm00001eb064620	2615	3218	2176	3884	3012	2354
Zm00001eb064630	300	346	289	211	153	188
Zm00001eb064640	882	1176	832	1941	1366	956
Zm00001eb064650	336	508	412	1076	876	669
Zm00001eb064660	63	72	78	145	98	74
Zm00001eb064670	901	1014	709	1312	1081	1075
Zm00001eb064680	1804	2222	2052	2628	2084	2384
Zm00001eb064690	340	449	441	528	442	385
Zm00001eb064700	24	12	32	4	10	2
Zm00001eb064710	1109	1154	1060	1694	1172	878
Zm00001eb064730	0	2	36	10	24	0
Zm00001eb064740	152	153	155	116	107	79
Zm00001eb064750	10	22	15	23	7	44
Zm00001eb064770	250	282	284	293	219	302
Zm00001eb064780	6	3	9	1	0	7
Zm00001eb064790	75	83	70	120	88	62
Zm00001eb064800	458	693	568	734	598	714
Zm00001eb064810	605	735	600	549	434	320
Zm00001eb064820	53	66	26	42	36	8
Zm00001eb064830	794	746	581	627	386	402
Zm00001eb064840	374	609	525	405	405	450
Zm00001eb064850	1032	1465	1399	1449	1233	1339
Zm00001eb064860	2920	3383	3223	3365	2855	2762
Zm00001eb064870	422	491	441	658	421	395
Zm00001eb064880	21	25	0	31	38	30
Zm00001eb064890	477	468	246	532	396	348
Zm00001eb064900	0	0	0	0	0	0
Zm00001eb064910	34	92	109	78	97	73
Zm00001eb064920	548	701	718	640	425	657
Zm00001eb064930	740	702	711	720	494	532
Zm00001eb064940	1329	1255	1560	1478	1117	1221
Zm00001eb064950	0	0	0	0	0	0
Zm00001eb064960	0	0	0	0	0	0
Zm00001eb064970	0	0	0	0	0	0
Zm00001eb064980	0	0	0	0	0	0
Zm00001eb064990	339	353	277	487	340	332
Zm00001eb065000	4	9	0	1	7	0
Zm00001eb065010	7	29	22	20	11	7
Zm00001eb065020	9	7	13	5	12	21
Zm00001eb065030	13	0	8	15	8	0
Zm00001eb065040	0	0	0	0	0	0
Zm00001eb065050	0	0	0	0	0	0
Zm00001eb065070	0	0	0	2	0	6
Zm00001eb065080	3704	4126	3663	3831	2784	3316
Zm00001eb065090	917	982	841	1120	815	904
Zm00001eb065100	0	0	0	0	0	0
Zm00001eb065120	144	191	166	4	0	16
Zm00001eb065130	245	327	218	239	190	156
Zm00001eb065140	6	3	24	5	24	28
Zm00001eb065150	0	0	0	0	0	0
Zm00001eb065160	7690	8619	6701	8782	6307	5324
Zm00001eb065170	4	0	0	0	0	0
Zm00001eb065180	0	0	0	0	0	0
Zm00001eb065190	0	0	0	0	0	0
Zm00001eb065200	0	0	0	0	0	0
Zm00001eb065210	2	2	9	13	8	37
Zm00001eb065250	101	35	68	98	46	66
Zm00001eb065260	5	10	12	6	5	0
Zm00001eb065270	0	0	0	0	0	0
Zm00001eb065280	947	966	868	1300	903	838
Zm00001eb065290	0	0	0	0	0	0
Zm00001eb065300	544	577	535	679	411	345
Zm00001eb065310	312	380	384	469	298	225
Zm00001eb065320	63	79	94	53	44	44
Zm00001eb065330	16	12	4	17	14	9
Zm00001eb065340	2282	2772	2369	3933	2822	2418
Zm00001eb065350	0	0	0	0	0	0
Zm00001eb065360	306	506	352	724	410	480
Zm00001eb065370	0	13	0	0	0	0
Zm00001eb065380	5450	6510	6559	17624	17713	22474
Zm00001eb065390	1418	1835	1469	2500	1621	1646
Zm00001eb065400	0	0	0	0	0	0
Zm00001eb065410	5	27	6	8	16	14
Zm00001eb065420	173	263	153	328	300	244
Zm00001eb065430	0	0	0	0	0	0
Zm00001eb065440	103	114	97	169	102	148
Zm00001eb065450	71	24	19	21	23	8
Zm00001eb065460	1628	2095	1908	2184	1624	1513
Zm00001eb065470	0	0	0	0	0	0
Zm00001eb065490	0	0	0	0	0	0
Zm00001eb065500	0	0	0	0	0	0
Zm00001eb065510	1175	1285	1227	1448	1101	1052
Zm00001eb065520	1042	1100	1009	1247	791	863
Zm00001eb065530	0	0	0	0	0	0
Zm00001eb065540	0	0	10	3	0	0
Zm00001eb065550	686	563	548	908	668	460
Zm00001eb065560	215	331	238	204	227	108
Zm00001eb065570	4008	4964	3950	6021	4105	4418
Zm00001eb065580	1195	1848	1871	1641	1581	1932
Zm00001eb065590	0	0	0	0	0	0
Zm00001eb065610	0	0	0	4	0	2
Zm00001eb065620	26	52	90	39	65	42
Zm00001eb065630	28	35	16	179	171	114
Zm00001eb065640	0	0	0	0	0	0
Zm00001eb065650	52	8	48	54	63	13
Zm00001eb065660	304	271	375	276	280	385
Zm00001eb065670	0	0	0	0	0	0
Zm00001eb065680	0	0	0	0	0	0
Zm00001eb065690	0	0	0	0	0	0
Zm00001eb065700	0	0	0	0	0	0
Zm00001eb065710	6	16	23	17	19	7
Zm00001eb065720	1356	1653	1255	1296	997	1373
Zm00001eb065730	252	203	161	636	410	219
Zm00001eb065740	329	350	216	530	449	352
Zm00001eb065750	712	748	848	965	912	972
Zm00001eb065760	7	19	8	17	23	18
Zm00001eb065770	906	1057	915	1072	867	701
Zm00001eb065780	2155	2678	1908	3429	1901	1729
Zm00001eb065790	675	733	578	765	591	587
Zm00001eb065800	1157	1319	1030	1321	1128	1057
Zm00001eb065810	0	0	0	0	0	1
Zm00001eb065820	0	0	0	0	0	0
Zm00001eb065830	0	0	0	0	0	0
Zm00001eb065850	262	276	251	247	195	228
Zm00001eb065860	41	33	25	39	13	43
Zm00001eb065870	820	832	624	792	599	450
Zm00001eb065890	74	78	32	80	81	50
