Gene	ExonSize	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3
GRMZM2G025231	4249	9290	10387	9204	5418	8467	7011
GRMZM2G025236	1651	218	174	183	205	195	195
GRMZM2G025242	1702	1768	1875	1640	1074	1624	1447
GRMZM2G025243	1892	418	477	360	391	442	347
GRMZM2G025248	1697	207	202	167	145	196	217
GRMZM2G025250	1704	49	63	21	17	38	27
GRMZM2G025255	790	736	643	676	338	669	626
GRMZM2G025281	2614	965	952	981	597	946	1065
GRMZM2G025294	1403	597	506	415	456	469	410
GRMZM2G025322	1091	654	574	552	1242	593	710
GRMZM2G025340	3699	794	793	698	468	845	721
GRMZM2G025356	2099	155	203	134	164	221	144
GRMZM2G025366	1936	516	595	553	870	624	804
GRMZM2G025387	2739	966	1014	1020	804	899	1119
GRMZM2G025409	2254	643	617	741	590	591	789
GRMZM2G025414	1029	49	41	49	55	27	27
GRMZM2G025451	2449	419	430	394	298	432	349
GRMZM2G025458	565	10	11	9	14	8	4
GRMZM2G025459	1656	949	771	593	1311	1193	1237
GRMZM2G025470	1955	849	882	699	719	991	937
GRMZM2G025477	1560	15	4	9	5	5	19
GRMZM2G025480	1587	743	701	711	543	646	690
GRMZM2G025488	2356	350	368	354	249	340	302
GRMZM2G025518	1072	10	10	9	33	7	19
GRMZM2G025528	2977	546	428	496	523	437	539
GRMZM2G025531	2805	1810	1840	1830	1304	1591	1826
GRMZM2G025536	2272	94	88	107	117	108	194
GRMZM2G025552	1349	71	91	70	73	57	60
GRMZM2G025579	3171	79	122	88	36	84	65
GRMZM2G025592	3809	295	276	321	227	286	435
GRMZM2G025598	2909	706	715	616	518	648	720
GRMZM2G025611	2968	39	36	62	49	40	61
GRMZM2G025646	1724	36	29	52	53	18	73
GRMZM2G025648	1336	1500	1328	1709	1783	1401	2066
GRMZM2G025649	654	40	46	58	19	39	61
GRMZM2G025659	1299	3390	3973	3146	2046	3148	2527
GRMZM2G025671	2639	219	263	198	108	214	169
GRMZM2G025703	1566	75	82	69	41	82	52
GRMZM2G025720	1584	9	7	10	9	13	16
GRMZM2G025731	1913	3862	3923	4211	3979	3451	4151
GRMZM2G025742	1696	507	499	516	648	495	502
GRMZM2G025783	1722	214	175	192	618	209	259
GRMZM2G025806	2705	258	317	278	189	314	276
GRMZM2G025812	1503	691	761	655	1833	1074	1259
GRMZM2G025832	1891	619	619	617	297	189	208
GRMZM2G025854	2665	2654	3023	2947	1981	2593	2810
GRMZM2G025855	1347	4804	5794	5379	5085	4895	5629
GRMZM2G025860	4070	1014	1058	1040	586	880	1208
GRMZM2G025867	2296	186	167	223	226	217	185
GRMZM2G025870	1820	43	32	27	103	16	84
GRMZM2G025882	1229	2045	1855	2468	3453	1029	2697
GRMZM2G025906	1982	777	932	858	679	891	949
GRMZM2G025924	2495	591	518	620	356	507	602
GRMZM2G025936	497	3	8	7	17	0	12
GRMZM2G025939	980	33	44	47	52	39	28
GRMZM2G025954	1433	2361	2177	3010	4201	2056	2754
GRMZM2G025966	2554	954	874	701	1021	1023	944
GRMZM2G025977	2285	1196	1145	1502	1394	1060	1430
GRMZM2G025989	925	3	5	0	35	13	27
GRMZM2G025992	1817	905	924	1152	1082	1159	1504
GRMZM2G026013	1714	783	835	822	558	766	848
GRMZM2G026015	1311	6659	4753	6629	11157	1814	8056
GRMZM2G026020	1574	14	8	16	12	7	12
GRMZM2G026024	1426	2341	2341	2741	1700	2101	2736
GRMZM2G026043	2631	714	718	764	611	757	816
GRMZM2G026050	2946	276	326	264	161	277	208
GRMZM2G026065	2419	686	675	523	375	704	769
GRMZM2G026085	865	8	9	18	82	14	18
GRMZM2G026095	1298	18	12	29	35	1	31
GRMZM2G026117	1367	3700	4376	4459	4440	3710	4639
GRMZM2G026131	1466	43	47	47	38	46	47
GRMZM2G026143	589	39	54	68	88	31	116
GRMZM2G026147	1628	41	35	18	111	14	45
GRMZM2G026151	2285	11	5	8	43	1	20
GRMZM2G026174	987	5	7	1	17	7	4
GRMZM2G026180	2030	254	226	204	606	788	961
GRMZM2G026203	2499	255	231	160	344	362	428
GRMZM2G026216	1488	189	237	185	610	252	201
GRMZM2G026218	4617	4169	4932	4180	2309	3848	3731
GRMZM2G026223	1875	97	120	105	72	59	85
GRMZM2G026229	1300	19	22	9	27	15	9
GRMZM2G026231	2369	379	472	369	395	371	418
GRMZM2G026301	2284	166	197	164	104	175	204
GRMZM2G026309	3517	687	739	677	406	527	574
GRMZM2G026311	1917	148	155	147	191	167	157
GRMZM2G026322	2011	3	15	5	6	7	10
GRMZM2G026333	905	95	101	109	36	64	73
GRMZM2G026371	2299	5968	6078	5544	4607	5359	5306
GRMZM2G026391	3157	983	861	1270	887	1053	1893
GRMZM2G026417	1622	11	10	5	61	9	15
GRMZM2G026442	4043	614	664	612	371	574	558
GRMZM2G026447	2257	109	142	109	160	192	234
GRMZM2G026452	1053	66	70	67	80	87	66
GRMZM2G026459	3149	4	6	11	14	2	10
GRMZM2G026470	1679	283	297	230	458	291	444
GRMZM2G026490	2317	157	205	115	115	182	172
GRMZM2G026517	741	11	14	6	3	13	6
GRMZM2G026523	2298	1489	1603	1564	699	1520	1403
GRMZM2G026546	1570	8	6	6	4	9	8
GRMZM2G026560	4261	57	69	47	42	66	71
GRMZM2G026580	3731	7	14	9	8	4	7
GRMZM2G026614	1606	1340	1333	1706	1559	1225	1756
GRMZM2G026639	3653	363	406	346	227	442	410
GRMZM2G026643	3294	585	665	611	373	629	732
GRMZM2G026649	1104	34	32	33	31	34	52
GRMZM2G026654	1414	261	254	264	227	274	304
GRMZM2G026656	1480	37	31	46	59	46	28
GRMZM2G026672	1407	131	141	106	89	166	162
GRMZM2G026676	743	82	80	97	56	72	102
GRMZM2G026715	1254	6	9	7	21	9	8
GRMZM2G026742	1936	220	196	207	191	203	218
GRMZM2G026758	1628	90	88	92	108	78	99
GRMZM2G026767	3073	137	177	131	253	237	269
GRMZM2G026780	1001	45	26	10	149	8	12
GRMZM2G026793	1716	43	48	46	32	30	44
GRMZM2G026800	633	397	366	362	279	318	320
GRMZM2G026802	1666	13	8	7	12	21	8
GRMZM2G026807	1766	16683	19260	17809	11220	17025	16444
GRMZM2G026833	1873	318	336	389	241	262	388
GRMZM2G026839	3188	83	126	117	68	76	96
GRMZM2G026855	2975	406	405	346	260	272	293
GRMZM2G026868	1164	146	134	173	391	140	185
GRMZM2G026869	1836	129	153	100	117	107	149
GRMZM2G026881	1646	73	56	102	179	34	87
GRMZM2G026889	2460	78	65	74	63	84	82
GRMZM2G026892	3731	533	464	606	384	476	663
GRMZM2G026900	1814	145	145	161	162	170	198
GRMZM2G026910	906	306	307	303	276	312	323
GRMZM2G026918	1639	14	18	18	8	5	16
GRMZM2G026922	2826	106	101	78	74	92	80
GRMZM2G026930	1685	43	57	66	12	20	34
GRMZM2G026943	3391	474	501	655	343	583	1049
GRMZM2G026952	1853	312	353	309	247	313	297
GRMZM2G026962	2700	678	792	629	564	703	714
GRMZM2G026969	1390	109	102	114	162	135	185
GRMZM2G026980	1864	337	339	108	283	155	389
GRMZM2G026983	933	413	468	457	345	389	412
GRMZM2G026991	6849	1745	1867	1657	1375	1986	2056
GRMZM2G027019	1660	754	581	589	1292	943	996
GRMZM2G027021	3484	2542	2289	2208	1686	2015	1876
GRMZM2G027023	2206	211	207	189	189	207	202
GRMZM2G027043	1767	394	381	363	449	354	403
GRMZM2G027049	3722	266	348	258	132	257	208
GRMZM2G027059	2115	2657	2746	2773	2606	2413	2774
GRMZM2G027068	1222	27	16	23	115	39	99
GRMZM2G027075	5674	173	106	135	182	109	186
GRMZM2G027098	1283	86	72	80	604	41	142
GRMZM2G027105	2029	366	573	530	309	588	495
GRMZM2G027115	2428	883	894	941	665	818	1025
GRMZM2G027120	1769	267	259	282	429	259	355
GRMZM2G027131	1418	17	19	34	27	9	32
GRMZM2G027135	1537	26	34	26	19	27	20
GRMZM2G027166	1968	1081	998	1228	1112	1118	1375
GRMZM2G027173	1571	18	20	26	21	18	19
GRMZM2G027183	2146	137	146	142	76	130	134
GRMZM2G027193	1046	201	163	167	414	184	285
GRMZM2G027198	1043	41	25	67	106	62	183
GRMZM2G027209	1414	249	284	279	299	241	263
GRMZM2G027219	1761	3937	4230	4035	2305	3540	3273
GRMZM2G027232	1577	179	274	172	251	186	202
GRMZM2G027241	2094	147	197	139	89	175	151
GRMZM2G027272	1979	753	876	788	753	965	1113
GRMZM2G027282	1805	2084	1845	1802	2987	2764	3273
GRMZM2G027307	1657	561	519	595	433	721	799
GRMZM2G027309	1854	21	28	21	35	37	41
GRMZM2G027311	1204	386	413	419	346	344	322
GRMZM2G027331	2839	319	402	283	400	353	328
GRMZM2G027333	2708	72	78	52	83	79	80
GRMZM2G027344	1341	71	77	87	87	107	140
GRMZM2G027375	2456	21	16	16	51	11	29
GRMZM2G027378	1161	2326	2663	2552	1800	2734	2391
GRMZM2G027385	3193	37	34	45	22	13	65
GRMZM2G027392	783	743	971	881	1049	1034	906
GRMZM2G027420	3077	294	334	298	243	308	364
GRMZM2G027431	2179	357	426	393	322	385	379
GRMZM2G027437	1277	697	722	751	552	569	784
GRMZM2G027439	2190	25	30	34	13	30	24
GRMZM2G027451	2221	2705	3973	3269	3965	4048	4124
GRMZM2G027462	2047	311	409	385	329	354	484
GRMZM2G027478	1417	751	986	567	973	991	605
GRMZM2G027479	782	17252	14408	18494	12855	11651	9796
GRMZM2G027495	2020	138	132	103	84	94	106
GRMZM2G027499	2456	202	231	214	155	248	299
GRMZM2G027535	1739	421	438	370	541	446	468
GRMZM2G027546	2225	472	548	462	445	536	565
GRMZM2G027571	1066	112	151	92	151	169	99
GRMZM2G027603	1981	212	261	248	208	221	260
GRMZM2G027626	1124	8	8	10	10	1	9
GRMZM2G027627	2005	1	9	5	8	10	16
GRMZM2G027640	1038	332	288	348	410	258	359
GRMZM2G027663	3100	24845	29390	21904	14214	26095	20151
GRMZM2G027665	3545	37	46	51	50	60	57
GRMZM2G027673	1963	107	117	90	93	116	96
GRMZM2G027695	945	19	13	13	157	30	16
GRMZM2G027723	3924	5277	7628	5798	2514	4990	3762
GRMZM2G027726	1148	69	67	79	94	73	102
GRMZM2G027728	1054	427	394	431	434	487	440
GRMZM2G027737	1436	194	211	184	129	276	193
GRMZM2G027741	2035	2342	2863	1896	2083	3507	3417
GRMZM2G027750	3279	137	193	185	138	158	168
GRMZM2G027756	2910	1160	1199	1144	669	1014	1142
GRMZM2G027794	2483	362	429	362	251	341	339
GRMZM2G027804	2467	17	20	2	7	17	16
GRMZM2G027821	2643	424	418	412	211	433	387
GRMZM2G027825	2147	165	198	155	375	141	226
GRMZM2G027835	1543	238	390	218	293	389	322
GRMZM2G027851	2768	310	372	294	164	209	198
GRMZM2G027856	2271	69	51	40	35	59	52
GRMZM2G027857	2613	270	224	238	203	216	229
GRMZM2G027860	3879	837	781	746	366	807	639
GRMZM2G027862	1374	602	699	543	587	561	582
GRMZM2G027867	2492	24	41	29	29	53	25
GRMZM2G027875	2942	2312	2329	1641	1933	2069	1933
GRMZM2G027886	1965	1044	974	1059	915	941	1081
GRMZM2G027891	3120	51	84	49	18	59	54
GRMZM2G027932	5183	1195	1234	1103	645	1162	1085
GRMZM2G027955	2734	2230	1962	1940	1077	1607	1622
GRMZM2G027958	1881	8	8	12	71	10	50
GRMZM2G027962	693	410	517	350	247	501	378
GRMZM2G027972	2190	121	148	124	65	113	114
GRMZM2G027976	1671	83	83	101	61	49	68
GRMZM2G027991	1841	44	39	41	86	72	49
GRMZM2G027995	1970	2497	3208	2492	1698	3047	2399
GRMZM2G028004	2157	172	182	146	150	189	177
GRMZM2G028005	3389	550	516	593	464	455	707
GRMZM2G028007	1339	18	26	17	81	11	25
GRMZM2G028014	1592	10	6	3	10	28	11
GRMZM2G028036	2429	182	185	187	162	199	242
GRMZM2G028037	2142	457	523	426	466	454	464
GRMZM2G028039	2421	560	623	591	350	523	477
GRMZM2G028054	2980	394	285	231	157	250	223
GRMZM2G028086	2313	10	12	3	3	20	5
GRMZM2G028089	1839	153	167	99	141	137	110
GRMZM2G028096	2987	556	605	672	383	667	702
GRMZM2G028104	1820	22	23	21	146	21	31
GRMZM2G028108	2248	424	509	432	228	398	310
GRMZM2G028129	1940	157	239	217	527	339	476
GRMZM2G028132	2459	192	251	198	129	269	222
GRMZM2G028134	693	404	586	529	329	282	471
GRMZM2G028136	901	119	112	96	66	75	76
GRMZM2G028139	2855	622	708	677	453	718	734
GRMZM2G028156	2843	696	809	743	542	768	766
GRMZM2G028159	2004	25	31	25	28	32	23
GRMZM2G028179	1827	9	10	14	4	5	1
GRMZM2G028183	2360	329	320	305	204	284	313
GRMZM2G028190	3065	1055	1013	1061	526	980	997
GRMZM2G028216	1594	1349	1267	1483	4299	1174	1502
GRMZM2G028218	1949	4	24	6	8	41	8
GRMZM2G028234	1060	4	4	3	44	0	14
GRMZM2G028254	691	9	10	12	66	11	33
GRMZM2G028258	2752	183	162	186	163	175	169
GRMZM2G028286	3303	94	112	88	91	89	153
GRMZM2G028302	1275	1073	966	1276	2680	938	1209
GRMZM2G028307	2506	462	518	480	346	584	567
GRMZM2G028313	2142	1230	1258	1143	1025	1229	1214
GRMZM2G028325	2010	971	736	1203	585	635	1134
GRMZM2G028335	2192	63	75	80	66	95	51
GRMZM2G028346	959	427	401	358	1951	1432	1926
GRMZM2G028353	4333	2385	2794	2251	1261	2270	2008
GRMZM2G028369	1380	312	301	276	349	263	289
GRMZM2G028379	1487	2144	2038	2140	2992	2046	3248
GRMZM2G028393	705	170	219	46	1207	118	418
GRMZM2G028397	1855	7	16	11	18	25	34
GRMZM2G028413	1518	523	528	549	715	368	468
GRMZM2G028432	865	314	320	360	353	321	404
GRMZM2G028452	1153	291	297	283	193	313	362
GRMZM2G028467	1777	100	86	74	75	107	75
GRMZM2G028492	1994	329	296	255	231	281	246
GRMZM2G028500	1014	126	155	117	277	236	330
GRMZM2G028501	2385	113	128	73	71	98	91
GRMZM2G028516	1998	2886	2555	3095	5270	3769	6008
GRMZM2G028521	3331	5969	6977	4806	5525	9510	9488
GRMZM2G028535	3060	173	201	197	145	182	201
GRMZM2G028552	1426	376	469	366	342	482	356
GRMZM2G028556	1051	72	109	132	551	303	1344
GRMZM2G028568	3401	71	72	78	100	84	142
GRMZM2G028570	1464	985	1033	1060	425	750	522
GRMZM2G028594	2224	475	486	377	331	399	406
GRMZM2G028604	2145	142	154	153	231	99	143
GRMZM2G028637	2860	46	33	35	10	10	17
GRMZM2G028640	737	95	59	153	187	66	450
GRMZM2G028648	2031	25	28	15	7	20	11
GRMZM2G028665	3056	5203	4723	5144	6876	4926	4707
GRMZM2G028676	899	85	64	58	63	67	73
GRMZM2G028700	4075	1289	1419	1335	761	1396	1158
GRMZM2G028709	3826	529	507	589	347	514	592
GRMZM2G028713	3318	42	41	36	42	45	54
GRMZM2G028718	3180	237	256	228	147	243	221
GRMZM2G028721	1903	22	11	24	12	13	24
GRMZM2G028726	1945	17	49	42	15	27	15
GRMZM2G028730	1134	401	399	342	480	261	491
GRMZM2G028733	2195	201	195	161	118	198	166
GRMZM2G028736	1974	8	2	4	5	13	12
GRMZM2G028758	2843	416	516	467	304	398	588
GRMZM2G028763	2309	159	180	130	131	132	175
GRMZM2G028766	3213	700	712	742	543	723	841
GRMZM2G028774	1737	52	39	43	27	41	46
GRMZM2G028779	867	48	60	31	27	40	52
GRMZM2G028796	3092	116	191	130	91	139	156
GRMZM2G028813	1981	18	23	33	18	18	33
GRMZM2G028821	1106	60	28	84	125	95	216
GRMZM2G028834	1768	220	277	218	316	300	324
GRMZM2G028852	2339	55	58	61	35	51	29
GRMZM2G028855	734	14	7	12	79	3	9
GRMZM2G028870	2010	7	7	11	10	10	20
GRMZM2G028883	790	467	613	514	587	558	581
GRMZM2G028885	1784	67	43	57	78	34	70
GRMZM2G028887	1972	261	330	279	333	293	270
GRMZM2G028889	904	48	46	45	49	53	60
GRMZM2G028900	2589	741	913	863	863	971	1091
GRMZM2G028902	1195	108	75	52	106	67	71
GRMZM2G028905	1715	101	89	81	104	106	102
GRMZM2G028910	2225	10	14	10	4	36	8
GRMZM2G028914	3233	3659	3981	3469	2809	3809	3766
GRMZM2G028921	907	151	177	140	73	141	165
GRMZM2G028926	2567	71	75	86	67	99	172
GRMZM2G028928	2871	129	165	109	131	162	100
GRMZM2G028929	1622	608	746	569	921	556	769
GRMZM2G028945	2002	495	604	480	512	743	682
GRMZM2G028980	4068	179	177	218	158	187	259
GRMZM2G028986	1821	192	289	281	271	304	287
GRMZM2G029001	1933	624	654	644	641	648	688
GRMZM2G029027	1659	491	556	379	241	433	418
GRMZM2G029029	1575	408	392	434	390	406	425
GRMZM2G029039	2692	73	66	56	73	65	58
GRMZM2G029048	3107	1001	1178	1229	875	780	1139
GRMZM2G029055	2289	1544	1667	1520	1508	1437	1512
GRMZM2G029058	2192	473	451	563	446	408	530
GRMZM2G029065	1616	43	35	48	28	16	52
GRMZM2G029077	2963	648	682	578	460	700	599
GRMZM2G029082	3132	237	180	212	74	135	183
GRMZM2G029087	1967	113	100	131	255	276	574
GRMZM2G029101	1134	11	7	15	102	22	21
GRMZM2G029107	1096	557	599	598	371	499	585
GRMZM2G029113	1942	117	129	122	127	138	116
GRMZM2G029135	1860	647	727	694	392	673	779
GRMZM2G029153	1857	126	102	138	217	154	305
GRMZM2G029184	1083	8	15	9	18	13	9
GRMZM2G029186	4610	1337	1420	1276	1045	1305	1407
GRMZM2G029194	4200	1117	1240	958	831	1030	1016
GRMZM2G029211	3254	72	99	48	29	63	60
GRMZM2G029219	2548	689	781	731	337	580	537
GRMZM2G029242	2367	202	210	147	123	261	319
GRMZM2G029243	2969	16	41	11	27	34	22
GRMZM2G029258	3926	1129	1261	1151	763	1254	1364
GRMZM2G029262	1500	458	462	422	508	547	481
GRMZM2G029267	1440	9	13	17	7	20	11
GRMZM2G029307	1792	370	410	345	287	449	333
GRMZM2G029323	1840	1751	1706	1661	1993	1667	2827
GRMZM2G029356	1750	131	116	101	123	88	88
GRMZM2G029370	2141	1033	1010	936	741	972	992
GRMZM2G029385	865	123	165	72	1254	1356	1850
GRMZM2G029396	2262	654	683	551	371	527	575
GRMZM2G029407	2361	211	194	239	454	74	282
GRMZM2G029455	832	53	37	51	63	26	63
GRMZM2G029478	3346	1206	1363	1360	942	1345	1376
GRMZM2G029486	1584	413	343	318	640	346	495
GRMZM2G029506	5475	1206	1381	1343	755	978	1258
GRMZM2G029514	1621	55	71	69	35	40	44
GRMZM2G029519	2548	450	448	487	423	446	428
GRMZM2G029527	1362	74	92	71	61	65	63
GRMZM2G029530	1952	384	357	386	324	422	381
GRMZM2G029531	1374	151	149	148	94	97	127
GRMZM2G029536	1232	6	5	9	3	6	10
GRMZM2G029537	2852	33	37	32	16	38	30
GRMZM2G029543	1752	1146	1344	1260	1275	1164	1229
GRMZM2G029546	1608	46	76	33	100	71	87
GRMZM2G029547	2034	82	109	120	42	65	64
GRMZM2G029552	1838	74	82	41	65	63	57
GRMZM2G029559	1726	1001	1697	965	813	1681	1063
GRMZM2G029566	3561	1387	1641	1362	787	1201	957
GRMZM2G029573	1984	1215	1414	1246	1199	1257	1300
GRMZM2G029583	2017	1512	1939	1594	1572	1818	2277
GRMZM2G029587	1774	161	133	192	351	95	176
GRMZM2G029632	2068	231	186	202	170	197	198
GRMZM2G029641	1994	1359	1379	1277	1192	1146	1360
GRMZM2G029685	868	117	168	112	197	165	153
GRMZM2G029692	2835	11	20	7	28	22	29
GRMZM2G029713	2045	12	15	20	75	19	30
GRMZM2G029720	932	5	6	3	17	2	12
GRMZM2G029722	987	145	115	203	158	142	207
GRMZM2G029731	1617	191	211	215	141	184	140
GRMZM2G029756	2031	25	19	22	14	2	19
GRMZM2G029785	1839	43	38	27	45	40	29
GRMZM2G029810	1922	23	47	51	39	79	60
GRMZM2G029824	2019	3352	3420	3644	2097	3256	3035
GRMZM2G029833	1436	25	38	42	24	37	38
GRMZM2G029845	1483	1997	2106	1953	1245	2148	1957
GRMZM2G029856	2007	217	220	202	401	164	287
GRMZM2G029859	4153	73	79	81	45	69	40
GRMZM2G029863	2240	192	149	183	329	106	245
GRMZM2G029868	1899	2046	1785	1482	1227	1478	1549
GRMZM2G029879	1798	2	4	7	16	7	5
GRMZM2G029912	2571	29	69	24	116	147	159
GRMZM2G029922	2138	14	14	16	8	19	15
GRMZM2G029933	2192	262	334	352	275	225	229
GRMZM2G029951	3196	401	407	383	405	530	564
GRMZM2G029974	1536	15	15	20	46	27	22
GRMZM2G030013	2438	18	9	22	11	17	12
GRMZM2G030016	1186	1905	2732	2216	2602	2755	2401
GRMZM2G030051	2553	33	27	26	34	34	31
GRMZM2G030072	1885	955	908	913	1135	846	948
GRMZM2G030080	1352	13	7	7	20	2	6
GRMZM2G030097	1760	102	138	103	94	115	139
GRMZM2G030099	1507	3	2	7	14	6	11
GRMZM2G030122	1973	43	73	44	32	126	79
GRMZM2G030123	2390	534	621	619	313	583	636
GRMZM2G030125	2517	1722	1648	1656	1025	1664	1804
GRMZM2G030128	4284	149	178	107	112	198	125
GRMZM2G030138	3276	91	107	82	398	87	142
GRMZM2G030139	1801	617	581	591	547	560	579
GRMZM2G030144	3183	543	698	588	381	585	526
GRMZM2G030148	1512	43	42	45	17	36	46
GRMZM2G030165	2493	142	124	199	161	122	156
GRMZM2G030167	1270	2145	2326	1930	1603	2098	1727
GRMZM2G030169	2013	62	68	80	45	69	72
GRMZM2G030203	947	1741	2155	1999	2046	1965	2259
GRMZM2G030216	1515	124	149	192	86	134	197
GRMZM2G030223	2367	135	99	158	90	102	112
GRMZM2G030228	1534	124	169	155	367	188	205
GRMZM2G030235	3450	1350	1581	1106	1140	1508	1540
GRMZM2G030240	1122	484	400	613	864	402	638
GRMZM2G030241	1071	27	25	33	47	17	31
GRMZM2G030252	1354	658	677	955	591	869	1280
GRMZM2G030263	2576	86	80	82	53	75	67
GRMZM2G030265	1547	104	106	124	160	73	87
GRMZM2G030272	1093	138	156	158	126	224	214
GRMZM2G030275	1797	284	290	315	249	285	326
GRMZM2G030280	1721	213	214	201	170	240	275
GRMZM2G030293	1703	585	878	793	1132	971	643
GRMZM2G030297	510	8	5	8	2	16	12
GRMZM2G030299	1521	2120	2564	2327	1797	1922	2022
GRMZM2G030305	1560	415	535	402	241	333	459
GRMZM2G030312	1341	64	88	57	279	133	179
GRMZM2G030325	1620	98	104	104	52	54	76
GRMZM2G030341	1204	393	398	398	363	455	378
GRMZM2G030350	2148	15	19	19	35	19	13
GRMZM2G030384	2323	393	428	331	357	345	326
GRMZM2G030402	684	12	12	15	69	5	24
GRMZM2G030408	816	131	115	129	235	129	192
GRMZM2G030422	4602	1634	1696	1517	1054	1697	1491
GRMZM2G030436	1772	8	9	16	38	10	18
GRMZM2G030458	1561	12	1	7	16	3	10
GRMZM2G030463	2858	770	835	661	410	783	671
GRMZM2G030465	1093	15	8	9	43	10	9
GRMZM2G030494	1157	206	187	248	826	132	410
GRMZM2G030523	1631	47	74	37	66	59	35
GRMZM2G030529	6495	395	441	387	266	461	429
GRMZM2G030542	1755	150	118	113	104	116	114
GRMZM2G030567	1951	16	28	22	17	8	11
GRMZM2G030578	3774	258	228	239	166	272	228
GRMZM2G030594	4595	74	78	102	77	73	92
GRMZM2G030596	2785	873	810	876	608	897	818
GRMZM2G030598	1686	71	77	62	68	73	80
GRMZM2G030606	1448	1470	1329	1592	1825	1199	1370
GRMZM2G030628	1392	3281	3158	3192	1722	2671	2935
GRMZM2G030636	2214	27	22	33	59	9	35
GRMZM2G030646	2277	650	980	542	499	905	587
GRMZM2G030659	4438	1112	1198	1201	773	1079	1411
GRMZM2G030673	2278	142	161	176	122	128	129
GRMZM2G030710	2907	787	823	827	487	614	704
GRMZM2G030712	2237	61	65	65	23	42	31
GRMZM2G030713	2113	162	168	176	132	100	106
GRMZM2G030731	1024	1330	1960	1140	984	926	1032
GRMZM2G030744	2568	93	68	87	44	84	88
GRMZM2G030762	2387	471	459	401	333	323	395
GRMZM2G030784	1194	2846	3232	3079	2450	3319	3594
GRMZM2G030794	943	3	10	5	25	5	15
GRMZM2G030805	3734	819	872	696	625	953	764
GRMZM2G030809	671	179	178	176	196	122	199
GRMZM2G030823	1750	45	36	45	26	37	50
GRMZM2G030839	3138	338	370	303	222	259	308
GRMZM2G030858	2698	1019	1185	885	770	1139	1024
GRMZM2G030873	2731	203	242	192	143	242	170
GRMZM2G030877	2663	36	28	27	22	32	46
GRMZM2G030880	3393	284	229	274	465	286	333
GRMZM2G030882	2136	43	34	26	42	12	19
GRMZM2G030902	1994	778	887	709	675	714	699
GRMZM2G030915	3528	1345	1940	1255	1470	2098	1377
GRMZM2G030955	1620	108	123	112	87	82	92
GRMZM2G030971	390	51	36	46	46	47	39
GRMZM2G031001	1888	165	127	164	520	269	516
GRMZM2G031022	2113	335	281	280	404	315	490
GRMZM2G031028	1767	3225	3449	3093	3955	3689	3404
GRMZM2G031043	2031	250	218	214	184	260	267
GRMZM2G031053	3271	675	695	621	692	759	800
GRMZM2G031057	1054	3398	3396	3044	3128	3491	3101
GRMZM2G031062	930	5	4	14	55	10	57
GRMZM2G031094	2424	71	81	53	34	93	47
GRMZM2G031107	2600	1858	2150	1924	1510	2211	2375
GRMZM2G031120	1401	117	136	115	77	89	129
GRMZM2G031125	1867	33	13	10	36	13	20
GRMZM2G031138	2136	121	96	121	248	143	305
GRMZM2G031143	1824	387	402	368	403	582	583
GRMZM2G031156	753	19	31	40	35	18	36
GRMZM2G031169	1166	348	251	271	327	204	254
GRMZM2G031177	2943	999	811	1100	689	522	1060
GRMZM2G031200	1432	24	27	31	45	14	59
GRMZM2G031210	1395	82	75	131	224	72	133
GRMZM2G031213	2608	353	349	282	325	325	275
GRMZM2G031239	1772	366	426	334	315	361	307
GRMZM2G031257	1978	24	15	28	2	15	7
GRMZM2G031261	694	6	7	4	60	6	18
GRMZM2G031298	1161	364	405	369	380	416	560
GRMZM2G031308	1529	719	754	641	933	1096	1154
GRMZM2G031311	2554	628	666	635	209	426	260
GRMZM2G031317	1013	208	220	149	706	357	877
GRMZM2G031326	2143	150	224	123	167	178	169
GRMZM2G031338	1008	70	88	60	14	31	12
GRMZM2G031352	4315	388	422	443	322	416	462
GRMZM2G031354	1183	76	78	56	758	160	242
GRMZM2G031360	4806	1453	1781	1358	1008	1704	1353
GRMZM2G031370	2706	119	99	121	98	113	116
GRMZM2G031398	3949	791	818	822	436	782	660
GRMZM2G031400	2318	172	212	202	130	162	200
GRMZM2G031420	574	291	296	252	247	341	318
GRMZM2G031435	1927	464	542	416	272	515	495
GRMZM2G031441	294	17	8	26	27	3	10
GRMZM2G031447	1594	7	4	2	30	5	9
GRMZM2G031461	1525	246	242	203	204	258	223
GRMZM2G031496	1929	1052	1437	1400	1010	1703	1723
GRMZM2G031501	2644	989	927	902	1323	649	933
GRMZM2G031504	860	24	18	32	66	10	26
GRMZM2G031523	2820	412	482	377	273	417	419
GRMZM2G031529	3203	281	272	202	191	353	237
GRMZM2G031536	2384	290	321	285	64	176	110
GRMZM2G031545	1463	4142	6191	4125	3760	6225	5082
GRMZM2G031568	2359	1950	1929	1855	1604	1701	1663
GRMZM2G031572	2551	787	741	674	825	769	718
GRMZM2G031580	1682	23	20	6	10	15	17
GRMZM2G031581	2340	6	2	8	21	12	28
GRMZM2G031584	2920	74	114	90	74	96	129
GRMZM2G031586	2442	64	58	59	571	71	87
GRMZM2G031588	2594	42	51	42	28	44	34
GRMZM2G031591	1049	765	786	719	442	617	550
GRMZM2G031607	774	12	16	7	45	28	37
GRMZM2G031609	2448	378	398	308	393	418	390
GRMZM2G031613	3853	135	133	95	209	126	214
